Deduped.author.names,Author.Keywords,Year
"Ferreira, N.",Graph based visual analytics,2015
"Ferreira, N.",Centrality,2015
"Ferreira, N.",Taxi trajectories,2015
"Ferreira, N.",Urban network,2015
"Ferreira, N.",Transportation assessment,2015
"Lage, M.",Graph based visual analytics,2015
"Lage, M.",Centrality,2015
"Lage, M.",Taxi trajectories,2015
"Lage, M.",Urban network,2015
"Lage, M.",Transportation assessment,2015
"Doraiswamy, H.",Graph based visual analytics,2015
"Doraiswamy, H.",Centrality,2015
"Doraiswamy, H.",Taxi trajectories,2015
"Doraiswamy, H.",Urban network,2015
"Doraiswamy, H.",Transportation assessment,2015
"Vo, H.T.",Graph based visual analytics,2015
"Vo, H.T.",Centrality,2015
"Vo, H.T.",Taxi trajectories,2015
"Vo, H.T.",Urban network,2015
"Vo, H.T.",Transportation assessment,2015
"Wilson, L.",Graph based visual analytics,2015
"Wilson, L.",Centrality,2015
"Wilson, L.",Taxi trajectories,2015
"Wilson, L.",Urban network,2015
"Wilson, L.",Transportation assessment,2015
"Werner, H.",Graph based visual analytics,2015
"Werner, H.",Centrality,2015
"Werner, H.",Taxi trajectories,2015
"Werner, H.",Urban network,2015
"Werner, H.",Transportation assessment,2015
"Park, M.",Graph based visual analytics,2015
"Park, M.",Centrality,2015
"Park, M.",Taxi trajectories,2015
"Park, M.",Urban network,2015
"Park, M.",Transportation assessment,2015
"Silva, C.T.",Graph based visual analytics,2015
"Silva, C.T.",Centrality,2015
"Silva, C.T.",Taxi trajectories,2015
"Silva, C.T.",Urban network,2015
"Silva, C.T.",Transportation assessment,2015
"Blascheck, T.",visual analytics,2015
"Blascheck, T.",qualitative evaluation,2015
"Blascheck, T.",thinking aloud,2015
"Blascheck, T.",interaction logs,2015
"Blascheck, T.",eye tracking,2015
"Blascheck, T.",time series data,2015
"John, M.",visual analytics,2015
"John, M.",qualitative evaluation,2015
"John, M.",thinking aloud,2015
"John, M.",interaction logs,2015
"John, M.",eye tracking,2015
"John, M.",time series data,2015
"Kurzhals, K.",visual analytics,2015
"Kurzhals, K.",qualitative evaluation,2015
"Kurzhals, K.",thinking aloud,2015
"Kurzhals, K.",interaction logs,2015
"Kurzhals, K.",eye tracking,2015
"Kurzhals, K.",time series data,2015
"Koch, S.",visual analytics,2015
"Koch, S.",qualitative evaluation,2015
"Koch, S.",thinking aloud,2015
"Koch, S.",interaction logs,2015
"Koch, S.",eye tracking,2015
"Koch, S.",time series data,2015
"Ertl, T.",visual analytics,2015
"Ertl, T.",qualitative evaluation,2015
"Ertl, T.",thinking aloud,2015
"Ertl, T.",interaction logs,2015
"Ertl, T.",eye tracking,2015
"Ertl, T.",time series data,2015
"Cho, I.",Visual Analytics,2015
"Cho, I.",Text Analytics,2015
"Cho, I.",Wikipedia,2015
Wewnen Dou,Visual Analytics,2015
Wewnen Dou,Text Analytics,2015
Wewnen Dou,Wikipedia,2015
"Wang, D.X.",Visual Analytics,2015
"Wang, D.X.",Text Analytics,2015
"Wang, D.X.",Wikipedia,2015
"Sauda, E.",Visual Analytics,2015
"Sauda, E.",Text Analytics,2015
"Sauda, E.",Wikipedia,2015
"Ribarsky, W.",Visual Analytics,2015
"Ribarsky, W.",Text Analytics,2015
"Ribarsky, W.",Wikipedia,2015
"Papadopoulos, C.",Visual Analytics,2015
"Papadopoulos, C.",Evaluation,2015
"Papadopoulos, C.",User Studies,2015
"Papadopoulos, C.",Ontology,2015
"Papadopoulos, C.",Experiments,2015
"Papadopoulos, C.",Interaction,2015
"Papadopoulos, C.",Virtual Reality,2015
"Papadopoulos, C.",Visualization,2015
"Gutenko, I.",Visual Analytics,2015
"Gutenko, I.",Evaluation,2015
"Gutenko, I.",User Studies,2015
"Gutenko, I.",Ontology,2015
"Gutenko, I.",Experiments,2015
"Gutenko, I.",Interaction,2015
"Gutenko, I.",Virtual Reality,2015
"Gutenko, I.",Visualization,2015
"Kaufman, A.",Visual Analytics,2015
"Kaufman, A.",Evaluation,2015
"Kaufman, A.",User Studies,2015
"Kaufman, A.",Ontology,2015
"Kaufman, A.",Experiments,2015
"Kaufman, A.",Interaction,2015
"Kaufman, A.",Virtual Reality,2015
"Kaufman, A.",Visualization,2015
Bum Chul Kwon,Online health communities,2015
Bum Chul Kwon,visual analytics,2015
Bum Chul Kwon,conversation analysis,2015
Bum Chul Kwon,thread visualization,2015
Bum Chul Kwon,healthcare,2015
Bum Chul Kwon,design study,2015
Sung-Hee Kim,Online health communities,2015
